Time (s),Amplitude (V)
3.5100000000e-05,-3.3318074531e-01
3.5200000000e-05,-6.5850043712e-01
3.5300000000e-05,-7.1177664914e-01
3.5400000000e-05,-2.7142264032e-01
3.5500000000e-05,1.0526777338e-01
3.5600000000e-05,6.7424505101e-01
3.5700000000e-05,7.0900844998e-01
3.5800000000e-05,7.1699932936e-01
3.5900000000e-05,4.2833454499e-01
3.6000000000e-05,1.3071974908e-01
3.6100000000e-05,-1.7263356630e-01
3.6200000000e-05,-6.2641909525e-01
3.6300000000e-05,-5.3033829466e-01
3.6400000000e-05,-2.0948301072e-01
3.6500000000e-05,-3.7093949711e-02
3.6600000000e-05,2.5229420787e-01
3.6700000000e-05,3.1582018486e-01
3.6800000000e-05,6.9195541533e-01
3.6900000000e-05,2.8324735064e-01
3.7000000000e-05,1.9751439163e-01
3.7100000000e-05,-3.6825523364e-01
3.7200000000e-05,-4.8930894647e-01
3.7300000000e-05,-3.3972789017e-01
3.7400000000e-05,-3.9564658191e-01
3.7500000000e-05,2.7963906220e-02
3.7600000000e-05,2.9287408833e-01
3.7700000000e-05,5.6438661105e-01
3.7800000000e-05,5.4168194310e-01
3.7900000000e-05,3.6459538466e-01
3.8000000000e-05,-3.4500473352e-02
3.8100000000e-05,-3.1900112571e-01
3.8200000000e-05,-4.4544752192e-01
3.8300000000e-05,-4.2619553125e-01
3.8400000000e-05,-2.2735339090e-01
3.8500000000e-05,2.1352175123e-01
3.8600000000e-05,2.7270879650e-01
3.8700000000e-05,5.6243591652e-01
3.8800000000e-05,3.9815209996e-01
3.8900000000e-05,2.9082641122e-01
3.9000000000e-05,1.4488154847e-01
3.9100000000e-05,-2.4016738691e-01
3.9200000000e-05,-3.8868395450e-01
3.9300000000e-05,-4.2860443375e-01
3.9400000000e-05,-2.9140838859e-01
3.9500000000e-05,5.3384853088e-02
3.9600000000e-05,1.7973274634e-01
3.9700000000e-05,4.3234194897e-01
3.9800000000e-05,3.1123841845e-01
3.9900000000e-05,3.6306302791e-01
4.0000000000e-05,-1.1258997594e-01
4.0100000000e-05,-1.1106601192e-01
4.0200000000e-05,-3.9116314729e-01
4.0300000000e-05,-1.8121438412e-01
4.0400000000e-05,-3.0783637334e-01
4.0500000000e-05,-1.1014438547e-01
4.0600000000e-05,1.0325818644e-01
4.0700000000e-05,2.9900577952e-01
4.0800000000e-05,4.5470196859e-01
4.0900000000e-05,1.4470371791e-01
4.1000000000e-05,8.6042273851e-02
4.1100000000e-05,-2.3816358467e-01
4.1200000000e-05,-2.4218975201e-01
4.1300000000e-05,-1.6345777097e-01
4.1400000000e-05,-2.5806573125e-01
4.1500000000e-05,1.5480641599e-01
4.1600000000e-05,3.1880918563e-01
4.1700000000e-05,3.7644554146e-01
4.1800000000e-05,3.5240269482e-01
4.1900000000e-05,6.1483656564e-01
4.2000000000e-05,8.1131662041e-02
4.2100000000e-05,2.2707190728e-01
4.2200000000e-05,-1.8202582305e-01
4.2300000000e-05,-4.0898610301e-01
4.2400000000e-05,-1.0613744765e-01
4.2500000000e-05,-3.9407652390e-02
4.2600000000e-05,2.4410135941e-01
4.2700000000e-05,2.9137910052e-01
4.2800000000e-05,1.9607141300e-01
4.2900000000e-05,2.7232711299e-01
4.3000000000e-05,-9.6602289742e-02
4.3100000000e-05,-8.3554640823e-02
4.3200000000e-05,-2.4268301095e-01
4.3300000000e-05,-1.7887672786e-01
4.3400000000e-05,-2.6071005349e-01
4.3500000000e-05,1.1551213571e-01
4.3600000000e-05,1.6457993933e-02
4.3700000000e-05,1.2618845198e-01
4.3800000000e-05,2.7120649646e-01
4.3900000000e-05,2.1500933330e-01
4.4000000000e-05,9.8678223610e-02
4.4100000000e-05,-6.0785852249e-02
4.4200000000e-05,-3.1542981012e-01
4.4300000000e-05,1.0247915074e-01
4.4400000000e-05,-4.0805748123e-02
4.4500000000e-05,1.0045598645e-01
4.4600000000e-05,1.8733185072e-01
4.4700000000e-05,2.4853770192e-01
4.4800000000e-05,2.6218520681e-01
4.4900000000e-05,1.3882098348e-01
4.5000000000e-05,-1.0406616815e-01
4.5100000000e-05,-3.9292649609e-01
4.5200000000e-05,-1.7015502877e-01
4.5300000000e-05,-1.7861140507e-01
4.5400000000e-05,-1.8121228031e-01
4.5500000000e-05,1.1541855081e-01
4.5600000000e-05,3.4421984780e-01
4.5700000000e-05,2.4318639122e-01
4.5800000000e-05,2.2984370300e-01
4.5900000000e-05,1.3516005198e-01
4.6000000000e-05,-3.6830201262e-02
4.6100000000e-05,-9.3720122675e-02
4.6200000000e-05,-2.1904900516e-01
4.6300000000e-05,-2.1064250653e-01
4.6400000000e-05,-1.4356581055e-01
4.6500000000e-05,3.2694782430e-02
4.6600000000e-05,1.2168382200e-01
4.6700000000e-05,1.4124248982e-01
4.6800000000e-05,-2.0073861977e-02
4.6900000000e-05,-2.6775071464e-02
4.7000000000e-05,1.1575377591e-02
4.7100000000e-05,-7.3920074060e-02
4.7200000000e-05,-2.2580104623e-03
4.7300000000e-05,-2.2622883594e-01
4.7400000000e-05,-7.1141666999e-02
4.7500000000e-05,1.0629774975e-01
4.7600000000e-05,4.6044384593e-02
4.7700000000e-05,5.2863521801e-02
4.7800000000e-05,6.0783944294e-02
4.7900000000e-05,1.9970833068e-02
4.8000000000e-05,1.5508119665e-02
4.8100000000e-05,-9.7419122195e-02
4.8200000000e-05,-9.7587916343e-03
4.8300000000e-05,-1.9877187040e-01
4.8400000000e-05,5.5872805437e-02
4.8500000000e-05,1.4791656478e-02
4.8600000000e-05,1.1022708807e-01
4.8700000000e-05,1.1343121447e-01
4.8800000000e-05,1.8273650727e-01
4.8900000000e-05,7.5277342388e-02
4.9000000000e-05,9.2472359275e-03
4.9100000000e-05,-3.5719202957e-02
4.9200000000e-05,3.1147346598e-02
4.9300000000e-05,-3.1159620080e-02
4.9400000000e-05,-1.5443795556e-01
4.9500000000e-05,1.6111301751e-01
4.9600000000e-05,1.0376627553e-01
4.9700000000e-05,-6.5415013707e-02
4.9800000000e-05,9.5588254207e-02
4.9900000000e-05,9.2351063590e-02
5.0000000000e-05,-1.1331000491e-01
5.0100000000e-05,-1.8410363047e-02
5.0200000000e-05,-1.8909067612e-01
5.0300000000e-05,-2.5644161747e-01
5.0400000000e-05,3.7240392927e-02
5.0500000000e-05,-8.6777462588e-02
5.0600000000e-05,-1.2964381949e-01
5.0700000000e-05,3.8993066881e-02
5.0800000000e-05,1.0941823818e-01
5.0900000000e-05,1.2675727779e-01
5.1000000000e-05,-2.6353772564e-01
5.1100000000e-05,1.5194179692e-01
5.1200000000e-05,-6.6461264367e-02
5.1300000000e-05,1.7011470736e-01
5.1400000000e-05,-1.9787129391e-02
5.1500000000e-05,9.8259207454e-02
5.1600000000e-05,2.0538207831e-01
5.1700000000e-05,2.8962510188e-02
5.1800000000e-05,1.2738653249e-02
5.1900000000e-05,1.0443383538e-03
5.2000000000e-05,3.7586658491e-02
5.2100000000e-05,-8.9228020961e-02
5.2200000000e-05,8.7103597667e-03
5.2300000000e-05,2.8655062785e-02
5.2400000000e-05,5.7476162475e-02
5.2500000000e-05,1.0045773242e-01
5.2600000000e-05,5.5302149520e-02
5.2700000000e-05,-1.8171320717e-01
5.2800000000e-05,-8.9891328390e-02
5.2900000000e-05,5.1167060127e-02
5.3000000000e-05,2.7901008414e-02
5.3100000000e-05,-5.8148614373e-02
5.3200000000e-05,-8.9495665863e-02
5.3300000000e-05,-5.9282754105e-02
5.3400000000e-05,6.9005940346e-02
5.3500000000e-05,5.7952132859e-02
5.3600000000e-05,-6.9090873944e-03
5.3700000000e-05,9.6445158664e-03
5.3800000000e-05,3.1152523915e-02
5.3900000000e-05,-5.5456785042e-02
5.4000000000e-05,6.2287659416e-02
5.4100000000e-05,-4.0363955149e-02
5.4200000000e-05,6.3744496518e-02
5.4300000000e-05,-5.1475166605e-02
5.4400000000e-05,-7.0902844535e-02
5.4500000000e-05,1.2044873756e-01
5.4600000000e-05,5.0233642884e-02
5.4700000000e-05,3.8553489912e-02
5.4800000000e-05,-2.0953787461e-02
5.4900000000e-05,-5.7664519404e-03
5.5000000000e-05,3.5040555146e-02
5.5100000000e-05,6.6257093404e-02
5.5200000000e-05,-5.0398779601e-02
5.5300000000e-05,4.8212905531e-02
5.5400000000e-05,1.6016952125e-01
5.5500000000e-05,-9.1064059235e-02
5.5600000000e-05,8.7104119930e-02
5.5700000000e-05,1.2269419885e-04
5.5800000000e-05,2.9711446714e-02
5.5900000000e-05,-6.0429818337e-02
5.6000000000e-05,5.5460128613e-02
5.6100000000e-05,-1.6937665166e-02
5.6200000000e-05,-9.5233141801e-02
5.6300000000e-05,1.3539483926e-02
5.6400000000e-05,8.3186897335e-02
5.6500000000e-05,-3.0939778890e-02
5.6600000000e-05,1.0064607604e-01
5.6700000000e-05,2.7684606600e-02
5.6800000000e-05,8.1511039769e-02
5.6900000000e-05,9.5259358510e-02
5.7000000000e-05,2.7693821542e-02
5.7100000000e-05,5.9268378932e-02
5.7200000000e-05,-1.1664518816e-01
5.7300000000e-05,-8.6037598188e-02
5.7400000000e-05,-5.0351296475e-02
5.7500000000e-05,-1.1276227027e-01
5.7600000000e-05,-6.6211542937e-02
5.7700000000e-05,-1.1025568851e-02
5.7800000000e-05,1.6596892186e-04
5.7900000000e-05,-1.4713283586e-02
5.8000000000e-05,8.1132807407e-02
5.8100000000e-05,-2.0159230512e-03
5.8200000000e-05,3.9490240020e-02
5.8300000000e-05,2.0587119576e-01
5.8400000000e-05,-4.2223477755e-02
5.8500000000e-05,-6.7784748499e-02
5.8600000000e-05,1.3952558539e-02
5.8700000000e-05,4.2072072810e-02
5.8800000000e-05,1.1463629534e-02
5.8900000000e-05,-1.6625968276e-01
5.9000000000e-05,3.4158621944e-02
5.9100000000e-05,-3.7660129534e-02
5.9200000000e-05,3.7960984891e-02
5.9300000000e-05,-2.5821799685e-02
5.9400000000e-05,-8.9299194445e-02
5.9500000000e-05,1.4696252143e-01
5.9600000000e-05,-4.2390881749e-02
5.9700000000e-05,8.9255688787e-02
5.9800000000e-05,1.2106649246e-02
5.9900000000e-05,-8.6293963275e-03
